date,age_group,bachelors,quintile,employment,respondents
2015-11-01,22-25,False,5,1298.8,447
2015-11-01,22-25,True,1,186.5,76
2015-11-01,22-25,True,2,648.9,227
2015-11-01,22-25,True,3,893.5,321
2015-11-01,22-25,True,4,803.6,290
2015-11-01,22-25,True,5,1197.2,404
2015-11-01,26-30,False,1,3362.2,1260
2015-11-01,26-30,False,2,2762.7,1029
2015-11-01,26-30,False,3,1305.2,489
2015-11-01,26-30,False,4,1175.8,432
2015-11-01,26-30,False,5,1421.5,533
2015-11-01,26-30,True,1,347.7,135
2015-11-01,26-30,True,2,867.3,330
2015-11-01,26-30,True,3,1685.0,653
2015-11-01,26-30,True,4,1705.0,668
2015-11-01,26-30,True,5,1818.7,714
2015-11-01,31-40,False,1,6016.5,2395
2015-11-01,31-40,False,2,4627.9,1869
2015-11-01,31-40,False,3,2510.7,1056
2015-11-01,31-40,False,4,2413.7,1026
2015-11-01,31-40,False,5,2949.0,1214
2015-11-01,31-40,True,1,508.4,219
2015-11-01,31-40,True,2,1591.5,651
2015-11-01,31-40,True,3,3661.0,1543
2015-11-01,31-40,True,4,3942.5,1637
2015-11-01,31-40,True,5,3707.6,1436
2015-11-01,41+,False,1,13919.8,5745
2015-11-01,41+,False,2,11393.4,4807
2015-11-01,41+,False,3,6982.8,3095
2015-11-01,41+,False,4,7271.2,3120
2015-11-01,41+,False,5,9177.9,3921
2015-11-01,41+,True,1,1254.7,523
2015-11-01,41+,True,2,3507.2,1487
2015-11-01,41+,True,3,8587.7,3720
2015-11-01,41+,True,4,9925.2,4135
2015-11-01,41+,True,5,7408.6,3081
2015-12-01,16-21,False,1,3302.4,1244
2015-12-01,16-21,False,2,3562.8,1349
2015-12-01,16-21,False,3,1069.3,409
2015-12-01,16-21,False,4,546.1,204
2015-12-01,16-21,False,5,1041.5,407
2015-12-01,16-21,True,1,13.0,7
2015-12-01,16-21,True,2,29.0,10
2015-12-01,16-21,True,3,16.1,6
2015-12-01,16-21,True,4,38.2,13
2015-12-01,16-21,True,5,43.8,16
2015-12-01,22-25,False,1,2750.4,990
2015-12-01,22-25,False,2,2799.5,1001
2015-12-01,22-25,False,3,1052.6,383
